,input,output
836,do you want   anytime any network mins   text and a new video phone for only five pounds per week call   or reply for delivery tomorrow,spam
837,"sir, i have been late in paying rent for the past few months and had to pay a lt gt charge i felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up i however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end can you please help thanks",human
838,we tried to contact you re our offer of new video phone   anytime any network mins half price rental camcorder call   or reply for delivery wed,spam
839,last chance   claim ur å£  worth of discount vouchers text yes to   now savamob member offers mobile t cs   å£    sub   remove txt x or stop,spam
840,i luv u soo much u donåõt understand how special u r   me ring u  morrow luv u xxx,human
841,"pls send me a comprehensive mail about who i'm paying, when and how much",human
842,our prashanthettan's mother passed away last night pray for her and family,human
843,"urgent call   from your landline your complimentary   ibiza holiday or  ,  cash await collection sae t cs po box   sk   wp   ppm  ",spam
844,k k when are you going,human
845,meanwhile in the shit suite xavier decided to give us lt gt seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit also i don't think doug realizes i don't live here anymore,human
846,my stomach has been thru so much trauma i swear i just can't eat i better lose weight,human
847,i am in office whats the matter msg me now i will call you at break,human
848,"yeah there's barely enough room for the two of us, x has too many fucking shoes sorry man, see you later",human
849,"today's offer claim ur å£  worth of discount vouchers text yes to   now savamob, member offers mobile t cs   å£    sub   unsub reply x",spam
850,u reach orchard already u wan   go buy tickets first,human
851,"i am real, baby i want to bring out your inner tigress",human
852,no da if you run that it activate the full version da,human
853,"\ah poor baby hope urfeeling bettersn luv probthat overdose of work hey go careful spk   u sn lots of lovejen xxx \""""",human
854,stop the story i've told him i've returned it and he's saying i should not re order it,human
855,talk sexy make new friends or fall in love in the worlds most discreet text dating service just text vip to   and see who you could meet,spam
856,going to take your babe out,human
857,hai ana tomarrow am coming on morning lt decimal gt ill be there in sathy then we ll go to rto office reply me after came to home,human
858,spoons it is then okay,human
859,did he just say somebody is named tampa,human
860,in work now going have in few min,human
861,your brother is a genius,human
862,"sorry, i guess whenever i can get a hold of my connections, maybe an hour or two i'll text you",human
863,did u find out what time the bus is at coz i need to sort some stuff out,human
864,dude ive been seeing a lotta corvettes lately,human
865,congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call   ts cs www smsco net å£   pm approx  mins,spam
866,"same here, but i consider walls and bunkers and shit important just because i never play on peaceful but i guess your place is high enough that it don't matter",human
867,private your   account statement for   xxxxxx shows   un redeemed s i m points call   identifier code   expires      ,spam
868,hello we need some posh birds and chaps to user trial prods for champneys can i put you down i need your address and dob asap ta r,spam
869,what do u want for xmas how about   free text messages a new video phone with half price line rental call free now on     to find out more,spam
870,"well am officially in a philosophical hole, so if u wanna call am at home ready to be saved",human
871,its going good no problem but still need little experience to understand american customer voice,human
872,i'll text you when i drop x off,human
873,ugh its been a long day i'm exhausted just want to cuddle up and take a nap,human
874,talk with yourself atleast once in a day otherwise you will miss your best friend in this world shakespeare shesil lt gt,human
875,"shop till u drop, is it you, either  k,  k, å£  cash or å£  travel voucher, call now,   ntt po box cr bt fixedline cost  ppm mobile vary",spam
876,are you in castor you need to see something,human
877,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to   å£    sp tyrone,spam
878,u have a secret admirer who is looking   make contact with u find out who they r reveal who thinks ur so special call on  ,spam
879,u have a secret admirer who is looking   make contact with u find out who they r reveal who thinks ur so special call on   stopsms  ,spam
880,reminder you have not downloaded the content you have already paid for goto http doit mymoby tv to collect your content,spam
881,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew i was gonna gibe you 'til one, but a midnight movie is not gonna get out til after   you need to come home you need to getsleep and, if anything, you need to b studdying ear training",human
882,i love to give massages i use lots of baby oil what is your fave position,human
883,dude we should go sup again,human
884,yoyyooo u know how to change permissions for a drive in mac my usb flash drive,human
885,gibbs unsold mike hussey,human
886,i like to talk pa but am not able to i dont know y,human
887,y dun cut too short leh u dun like ah she failed she's quite sad,human
888,you unbelievable faglord,human
889,wife how she knew the time of murder exactly,human
890,why do you ask princess,human
891,i am great princess what are you thinking about me,human
892,nutter cutter ctter cttergg cttargg ctargg ctagg ie you,human
893,it's ok i noe u're busy but i'm really too bored so i msg u i oso dunno wat colour she choose   me one,human
894,doesn't g have class early tomorrow and thus shouldn't be trying to smoke at lt gt,human
895,"superb thought \be grateful that u dont have everything u want that means u still have an opportunity to be happier tomorrow than u are today \"" """,human
896,hope you are having a good week just checking in,human
897,"i'm used to it i just hope my agents don't drop me since i've only booked a few things this year this whole me in boston, them in nyc was an experiment",human
898,"thursday night yeah, sure thing, we'll work it out then",human
899,"your free ringtone is waiting to be collected simply text the password \mix\"" to   to verify get usher and britney fml",spam
900,probably money worries things are coming due and i have several outstanding invoices for work i did two and three months ago,human
901,how is it possible to teach you and where,human
902,"i wonder if your phone battery went dead i had to tell you, i love you babe",human
903,lovely smell on this bus and it ain't tobacco,human
904,"we're all getting worried over here, derek and taylor have already assumed the worst",human
905,hey what's up charles sorry about the late reply,human
906,"all the lastest from stereophonics, marley, dizzee racal, libertines and the strokes win nookii games with flirt click themob wap bookmark or text wap to  ",spam
907,i ll give her once i have it plus she said grinule greet you whenever we speak,human
908,white fudge oreos are in stores,human
909,"january male sale hot gay chat now cheaper, call   national rate from    p min cheap to    p min peak to stop texts call    p min",spam
910,my love how come it took you so long to leave for zaher's i got your words on ym and was happy to see them but was sad you had left i miss you,human
911,i am sorry it hurt you,human
912,can't i feel nauseous i'm so pissed i didn't eat any sweets all week cause today i was planning to pig out i was dieting all week and now i'm not hungry,human
913,ok lor but not too early me still having project meeting now,human
914,"call me da, i am waiting for your call",human
915,i could ask carlos if we could get more if anybody else can chip in,human
916,was actually about to send you a reminder today have a wonderful weekend,human
917,"when people see my msgs, they think iam addicted to msging they are wrong, bcoz they don\'t know that iam addicted to my sweet friends bslvyl",human
918,hey you gave them your photo when you registered for driving ah tmr wanna meet at yck,human
919,dont talk to him ever ok its my word,human
920,when u wana see it then,human
921,on ma way to school can you pls send me ashley's number,human
922,it shall be fine i have avalarr now will hollalater,human
923,she went to attend another two rounds today but still did't reach home,human
924,actually i deleted my old website now i m blogging at magicalsongs blogspot com,human
925,"k, wait chikku il send aftr lt gt mins",human
926,but i'm on a diet and i ate   too many slices of pizza yesterday ugh i'm always on a diet,human
927,k i will give my kvb acc details,human
928,oh all have to come ah,human
929,money you r a lucky winner   claim your prize text money     over å£ million to give away ppt x  normal text rate box  w t jy,spam
930,i'm really sorry i won't b able   do this friday hope u can find an alternative hope yr term's going ok,human
931,congratulations ore mo owo re wa enjoy it and i wish you many happy moments to and fro wherever you go,human
932,so do you have samus shoulders yet,human
933,what time you think you'll have it need to know when i should be near campus,human
934,"dear matthew please call   from a landline, your complimentary   lux tenerife holiday or å£  cash await collection ppm  sae t cs box  sk xh",spam
935,then dun wear jeans lor,human
936,"since when, which side, any fever, any vomitin",human
937,k k are you in college,human
938,"urgent call   from landline your complimentary   tenerife holiday or å£ ,  cash await collection sae t cs box   hp   yf  ppm  ",spam
939,better made up for friday and stuffed myself like a pig yesterday now i feel bleh but at least its not writhing pain kind of bleh,human
940,no we sell it all so we'll have tons if coins then sell our coins to someone thru paypal voila money back in life pockets,human
941,theyre doing it to lots of places only hospitals and medical places are safe,human
942,how about getting in touch with folks waiting for company just txt back your name and age to opt in enjoy the community  p sms,spam
943,and also i've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,human
944,"i sent my scores to sophas and i had to do secondary application for a few schools i think if you are thinking of applying, do a research on cost also contact joke ogunrinde, her school is one me the less expensive ones",human
945,i cant wait to see you how were the photos were useful,human
946,ur cash balance is currently   pounds to maximize ur cash in now send go to   only  p msg cc   po box     tcr w ,spam
947,hey i booked the kb on sat already what other lessons are we going for ah keep your sat night free we need to meet and confirm our lodging,human
948,chk in ur belovd ms dict,human
949,is that what time you want me to come,human
950,"awesome, lemme know whenever you're around",human
951,shb b ok lor thanx,human
952,"beautiful truth against gravity read carefully \our heart feels light when someone is in it but it feels very heavy when someone leaves it \"" good night""",human
953,also remember to get dobby's bowl from your car,human
954,filthy stories and girls waiting for your,spam
955,sorry i now then c ur msg yar lor so poor thing but only   one night tmr u'll have a brand new room   sleep in,human
956,"love isn't a decision, it's a feeling if we could decide who to love, then, life would be much simpler, but then less magical",human
957,welp apparently he retired,human
958,my sort code is and acc no is the bank is natwest can you reply to confirm i've sent this to the right person,human
959,where,human
960,u sure u can't take any sick time,human
961,urgent we are trying to contact u todays draw shows that you have won a å£  prize guaranteed call   from land line claim m  valid hrs only,spam
962,"watching cartoon, listening music amp at eve had to go temple amp church what about u",human
963,yo chad which gymnastics class do you wanna take the site says christians class is full,human
964,are you this much buzy,human
965,or better still can you catch her and let ask her if she can sell lt gt for me,human
966,i am not sure about night menu i know only about noon menu,human
967,what do u want when i come back a beautiful necklace as a token of my heart for you thats what i will give but only to my wife of my liking be that and see no one can give you that dont call me i will wait till i come,human
968,are you willing to go for aptitude class,human
969,"it wont b until     as trying   sort house out, is that ok",human
970,"yar lor he wan   go c horse racing today mah, so eat earlier lor i ate chicken rice u",human
971,"haha awesome, omw back now then",human
972,yup i thk so until e shop closes lor,human
973,what is your account number,human
974,eh u send wrongly lar,human
975,hey no i ad a crap nite was borin without ya   boggy with me u boring biatch thanx but u wait til nxt time il ave ya,human
976,ok i shall talk to him,human
977,dont hesitate you know this is the second time she has had weakness like that so keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,human
978,hey you can pay with salary de only lt gt,human
979,another month i need chocolate weed and alcohol,human
980,if he started searching he will get job in few days he have great potential and talent,human
981,reckon need to be in town by eightish to walk from carpark,human
982,"congrats   mobile  g videophones r yours call   now videochat wid your mates, play java games, dload polyph music, noline rentl",spam
983,look at the fuckin time what the fuck you think is up,human
984,yo guess what i just dropped,human
985,carlos says he'll be at mu in lt gt minutes,human
986,i'm in office now i will call you lt gt min,human
987,"geeee i miss you already, you know your all i can think about fuck, i can't wait till next year when we will be together loving kiss",human
988,"yun ah the ubi one say if ì_ wan call by tomorrow call   look for irene ere only got bus , , , , ,  ubi cres,ubi tech park  ph for  st  wkg days ì¬n",human
989,ugh gotta drive back to sd from la my butt is sore,human
990, th of july,human
991,hi im having the most relaxing time ever we have to get up at  am every day was the party good the other night i get home tomorrow at  ish,human
992,up to ì_ ìï wan come then come lor but i din c any stripes skirt,human
993,the xmas story is peace the xmas msg is love the xmas miracle is jesus hav a blessed month ahead amp wish u merry xmas,human
994,"i can't, i don't have her number",human
995,change again it's e one next to escalator,human
996,yetunde i'm in class can you not run water on it to make it ok pls now,human
997,not a lot has happened here feels very quiet beth is at her aunts and charlie is working lots just me and helen in at the mo how have you been,human
998,then ì_ wait   me at bus stop aft ur lect lar if i dun c ì_ then i go get my car then come back n pick ì_,human
999,"aight will do, thanks again for comin out",human
1000,no but heard abt tat,human
1001,please call our customer service representative on freephone       between  am  pm as you have won a guaranteed å£  cash or å£  prize,spam
1002,yes he is really great bhaji told kallis best cricketer after sachin in world very tough to get out,human
1003,lt gt am i think should say on syllabus,human
1004,umma did she say anything,human
1005,give me a sec to think think about it,human
1006,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt on orange contract call mobileupd  on   or call  optout,spam
1007,i don't quite know what to do i still can't get hold of anyone i cud pick you up bout    pm and we can see if they're in the pub,human
1008,"poyyarikatur,kolathupalayam,unjalur post,erode dis, lt gt",human
1009,"dear hero,i am leaving to qatar tonite for an apt opportunity pls do keep in touch at lt email gt ,kerala",human
1010,lol i would but my mom would have a fit and tell the whole family how crazy and terrible i am,human
1011,"i just got home babe, are you still awake",human
1012,i dunno they close oredi not ìï v ma fan,human
1013,just buy a pizza meat lovers or supreme u get to pick,human
1014,"ya, told she was asking wats matter",human
1015,"dear,regret i cudnt pick call drove down frm ctla now at cochin home left mobile in car ente style ishtamayoo happy bakrid",human
1016,free for  st week no  nokia tone   ur mob every week just txt nokia to   get txting and tell ur mates www getzed co uk pobox   w wq norm p tone  ,spam
1017,shall i send that exe to your mail id,human
1018,nope watching tv at home not going out v bored,human
1019,don know wait i will check it,human
1020,"good afternoon on this glorious anniversary day, my sweet j i hope this finds you happy and content, my prey i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers you cougar pen",human
1021,guess what somebody you know secretly fancies you wanna find out who it is give us a call on   from landline datebox essexcm xn  p min  ,spam
1022,we still on for tonight,human
1023,may i call you later pls,human
1024,hasn't that been the pattern recently crap weekends,human
1025,i have a sore throat it's scratches when i talk,human
1026,yes da any plm at ur office,human
1027,are you not around or just still asleep v,human
1028,"lol you forgot it eh yes, i'll bring it in babe",human
1029,"its good, we'll find a way",human
1030,can not use foreign stamps in this country good lecture,human
1031,yup bathe liao,human
1032,happy new year my no   man,human
1033,"oh mr sheffield you wanna play that game, okay you're the boss and i'm the nanny you give me a raise and i'll give you one",human
1034,zoe it just hit me   im fucking shitin myself il defo try my hardest   cum  morow luv u millions lekdog,human
1035,"hello baby, did you get back to your mom's are you setting up the computer now filling your belly how goes it loverboy i miss you already sighs",human
1036,"no my blankets are sufficient, thx",human
1037,"naughty little thought 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt gud nyt",human
1038,"edison has rightly said, \a fool can ask more questions than a wise man can answer\"" now you know why all of us are speechless during viva gm",human
1039,they just talking thats it de they wont any other,human
1040,today am going to college so am not able to atten the class,human
1041,i'm in class will holla later,human
1042,easy ah sen got selected means its good,human
1043,mmm thats better now i got a roast down me iåõd b better if i had a few drinks down me   good indian,human
1044,"we know someone who you know that fancies you call   to find out who pobox  , ls hb  p",spam
1045,"come round, it's",human
1046,"do   thing change that sentence into \because i want   concentrate in my educational career im leaving here \""""",human
1047," 's flirting now txt girl or bloke ur name age, eg girl zoe   to   to join and get chatting",spam
1048,i walked an hour   c u doesnåõt that show i care y wont u believe im serious,human
1049,  days to euro  kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to  ,spam
1050,are you available for soiree on june  rd,human
1051,do u noe wat time e place dat sells  d closes,human
1052,"i got another job the one at the hospital doing data analysis or something, starts on monday not sure when my thesis will got finished",human
1053,jay's getting really impatient and belligerent,human
1054,hiya comin   bristol   st week in april les got off rudi on new yrs eve but i was snoring they were drunk u bak at college yet my work sends ink   bath,human
1055,i'm at work please call,human
1056,then u drive lor,human
1057,ard   like dat y,human
1058,tell me they're female v how're you throwing in we're deciding what all to get now,human
1059,eastenders tv quiz what flower does dot compare herself to d violet e tulip f lily txt d e or f to   now   chance   win å£  cash wkent  p ,spam
1060,i'm working technical support voice process networking field,human
1061,i might come to kerala for   days so you can be prepared to take a leave once i finalise dont plan any travel during my visit need to finish urgent works,human
1062,ok not sure what time tho as not sure if can get to library before class will try see you at some point have good eve,human
1063,we have new local dates in your area lots of new people registered in your area reply date to start now   only www flirtparty us replys ,spam
1064,"that's fine, i'll bitch at you about it later then",human
1065,no my mum went   dentist,human
1066,once free call me sir i am waiting for you,human
1067,meeting u is my work tel me when shall i do my work tomorrow,human
1068,someone u know has asked our dating service   contact you cant guess who call   now all will be revealed po box  m   wu,spam
1069,jus finish bathing,human
1070,"alright, i'll make sure the car is back tonight",human
1071,urgent we are trying to contact u todays draw shows that you have won a å£  prize guaranteed call   from land line claim c  valid hrs only,spam
1072,dear u've been invited to xchat this is our final attempt to contact u txt chat to  ,spam
1073,lul im gettin some juicy gossip at the hospital two nurses are talking about how fat they are gettin and one thinks shes obese oyea,human
1074,aight ill get on fb in a couple minutes,human
1075,oi ami parchi na re kicchu kaaj korte iccha korche na phone ta tul na plz plz,human
1076,where can download clear movies dvd copies,human
1077,"yep, by the pretty sculpture",human
1078,convey my regards to him,human
1079,me too watching surya movie only after   pm vijay movie pokkiri,human
1080,you tell what happen dont behave like this to me ok no need to say,human
1081,can u get pic msgs to your phone,human
1082,send to someone else,human
1083,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,human
1084,for me the love should start with attraction i should feel that i need her every time around me she should be the first thing which comes in my thoughts i would start the day and end it with her she should be there every time i dream love will be then when my every breath has her name my life should happen around her my life will be named to her i would cry for her will give all my happiness and take all her sorrows i will be ready to fight with anyone for her i will be in love when i will be doing the craziest things for her love will be when i don't have to proove anyone that my girl is the most beautiful lady on the whole planet i will always be singing praises for her love will be when i start up making chicken curry and end up makiing sambar life will be the most beautiful then will get every morning and thank god for the day because she is with me i would like to say a lot will tell later,human
1085,"fr'ndship is like a needle of a clock though v r in d same clock, v r nt able   met evn if v meet,itz only  few seconds bt v alwys stay conected gud  t",human
1086,i don't think he has spatula hands,human
1087,you can never do nothing,human
1088,you are awarded a sipix digital camera call   from landline delivery within  days t cs box  m bp  yr warranty  ppm   p på£   ,spam
1089,goodmorning today i am late for lt decimal gt min,human
1090,win urgent your mobile number has been awarded with a å£  prize guaranteed call   from land line claim   valid  hrs only  ppm,spam
1091,please da call me any mistake from my side sorry da pls da goto doctor,human
1092,where r we meeting,human
1093,"well the weather in cali's great but its complexities are great you need a car to move freely, its taxes are outrageous but all in all its a great place the sad part is i missing home",human
1094,now only i reached home i am very tired now i will come tomorro,human
1095,ryder unsold now gibbs,human
1096,dear subscriber ur draw   å£  gift voucher will b entered on receipt of a correct ans when was elvis presleys birthday txt answer to  ,spam
1097,don't fret i'll buy the ovulation test strips and send them to you you wont get them til like march can you send me your postal address u'll be alright okay,human
1098,no gifts you trying to get me to throw myself off a cliff or something,human
1099,been up to ne thing interesting did you have a good birthday when are u wrking nxt i started uni today,human
1100,you busy or can i come by at some point and figure out what we're doing tomorrow,human
1101,"yeah go on then, bored and depressed sittin waitin for phone to ring hope the wind drops though, scary",human
1102,black shirt n blue jeans i thk i c ì_,human
1103,aiyah sorry lor i watch tv watch until i forgot   check my phone,human
1104,message important information for o  user today is your lucky day   find out why log onto http www urawinner com there is a fantastic surprise awaiting you,spam
1105,on hen night going with a swing,human
1106,"good afternoon, my love how goes your day what are you up to i woke early and am online waiting for you hmmm italian boy is online i see grins",human
1107,from someone not to smoke when every time i've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,human
1108,no you'll just get a headache trying to figure it out u can trust me to do the math i promise o,human
1109,s s first time dhoni rocks,human
1110,ok ill tell the company,human
1111,"awesome, think we can get an  th at usf some time tonight",human
1112,so that means you still think of teju,human
1113,"no i'm good for the movie, is it ok if i leave in an hourish",human
1114,no no this is kallis home ground amla home town is durban,human
1115,so lets make it saturday or monday as per convenience,human
1116,hey what time is your driving on fri we go for evaluation on fri,human
1117,"  you have won a å£ ,  price to claim, call  ",spam
1118,i'm going   lunch now wif my family then aft dat i go str   orchard lor,human
1119,"bored of speed dating try speedchat, txt speedchat to  , if you don't like em txt swap and get a new chatter chat  pobox w wq  p msg rcd  ",spam
1120,cancel cheyyamo and get some money back,human
1121,do you want   anytime any network mins   text and a new video phone for only five pounds per week call   now or reply for delivery tomorrow,spam
1122,ok ok ok then whats ur todays plan,human
1123,good morning princess how are you,human
1124,aiyar sorry lor forgot   tell u,human
1125,for taking part in our mobile survey yesterday you can now have   texts   use however you wish   get txts just send txt to   t c www txt  com    p,spam
1126,not tonight mate catching up on some sleep this is my new number by the way,human
1127,"height of \oh shit \"" situation a guy throws a luv letter on a gal but falls on her brothers head whos a gay",human
1128,ur hmv quiz cash balance is currently å£  to maximize ur cash in now send hmv  to   only  p msg,spam
1129,"so check your errors and if you had difficulties, do correction",human
1130,howz pain hope u r fine,human
1131,"sorry, i'll call later",human
1132,good morning princess how are you,human
1133,"as i entered my cabin my pa said, '' happy b'day boss '' i felt special she askd me   lunch after lunch she invited me to her apartment we went there",human
1134,u wake up already thanx   e tau sar piah it's quite nice,human
1135,k do i need a login or anything,human
1136,dont forget you can place as many free requests with  stchoice co uk as you wish for more information call  ,spam
1137,lol no just was busy,human
1138,what u wearing,human
1139,message some text missing sender name missing number missing sent date missing missing u a lot thats y everything is missing sent via fullonsms com,human
1140,oh as usual vijay film or its different,human
1141,i don't know u and u don't know me send chat to   now and let's find each other only  p msg rcvd hg suite   lands row w j hl ldn   years or over,spam
1142,have you had a good day mine was really busy are you up to much tomorrow night,human
1143,and is there a way you can send shade's stuff to her and she has been wonderful too,human
1144,really i tot ur paper ended long ago but wat u copied jus now got use u happy lar i still haf   study,human
1145,"thank you, winner notified by sms good luck no future marketing reply stop to   customer services  ",spam
1146,babe i lost you,human
1147,ok help me ask if she's working tmr a not,human
1148,i'm not driving raining then i'll get caught at e mrt station lor,human
1149,not a drop in the tank,human
1150,that said can you text him one more time,human
1151,"sorry, i'll call later",human
1152,ok i go change also,human
1153, 's of girls many local   u who r virgins   this r ready    fil ur every sexual need can u  fil theirs text cute to   å£   p m,spam
1154,did u find a sitter for kaitlyn i was sick and slept all day yesterday,human
1155,"sorry man, accidentally left my phone on silent last night and didn't check it til i got up",human
1156,hey something came up last min think i wun be signing up tmr hee,human
1157,he's an adult and would learn from the experience there's no real danger i just dont like peeps using drugs they dont need but no comment,human
1158,hey there's veggie pizza,human
1159,yun buying but school got offer   plus only,human
1160,you sure your neighbors didnt pick it up,human
1161,k i will sent it again,human
1162,free entry in   a wkly comp to win fa cup final tkts  st may   text fa to   to receive entry question std txt rate t c's apply  over 's,spam
1163,"new theory argument wins d situation, but loses the person so dont argue with ur friends just kick them amp say, i'm always correct",human
1164,well im computerless time to make some oreo truffles,human
1165,"haha yeah i see that now, be there in a sec",human
1166,i am not having her number sir,human
1167,lol now i'm after that hot air balloon,human
1168,ok now i am in bus if i come soon i will come otherwise tomorrow,human
1169,msgs r not time pass they silently say that i am thinking of u right now and also making u think of me at least   a moment gd nt swt drms shesil,human
1170,"yeah, we can probably swing by once my roommate finishes up with his girl",human
1171,"got what it takes   take part in the wrc rally in oz u can with lucozade energy text rally le to    p , see packs or lucozade co uk wrc itcould be u",spam
1172,happy new years melody,human
1173,ìï dun need to pick ur gf,human
1174,yay you better not have told that to   other girls either,human
1175,horrible u eat macs eat until u forgot abt me already rite u take so long   reply i thk it's more toot than b  so b prepared now wat shall i eat,human
1176,"did he say how fantastic i am by any chance, or anything need a bigger life lift as losing the will   live, do you think i would be the first person   die from n v q",human
1177,just nw i came to hme da,human
1178,"i'm outside islands, head towards hard rock and you'll run into me",human
1179,to day class is there are no class,human
1180,i'm in chennai velachery,human
1181,you flippin your shit yet,human
1182,"k give me a sec, breaking a lt gt at cstore",human
1183,am i that much bad to avoid like this,human
1184,"yo, you around just got my car back",human
1185,annoying isn't it,human
1186,"goodmorning, today i am late for lt gt min",human
1187,there's no point hangin on to mr not right if he's not makin u happy,human
1188,all will come alive better correct any good looking figure there itself,human
1189,in that case i guess i'll see you at campus lodge,human
1190,we're done,human
1191,come to my home for one last time i wont do anything trust me,human
1192,i was up all night too worrying about this appt it's a shame we missed a girls night out with quizzes popcorn and you doing my hair,human
1193,sex up ur mobile with a free sexy pic of jordan just text babe to   then every wk get a sexy celeb pocketbabe co uk   more pics   å£  wk  ,spam
1194,ok c ya,human
1195,you have   new voicemail please call  ,spam
1196,what he said is not the matter my mind saying some other matter is there,human
1197,he also knows about lunch menu only da i know,human
1198,"al he does is moan at me if n e thin goes wrong its my fault al de arguments r my fault fed up of him of himso y bother hav  go, thanx xx",human
1199,neft transaction with reference number lt gt for rs lt decimal gt has been credited to the beneficiary account on lt gt at lt time gt lt gt,human
1200,otherwise had part time job na tuition,human
1201,i know she called me,human
1202,"me also da, i feel yesterday night wait til  day night dear",human
1203,thanks for understanding i've been trying to tell sura that,human
1204,win a year supply of cds   a store of ur choice worth å£  enter our å£  weekly draw txt music to   ts cs www ldew com subs   win ppmx ,spam
1205,the whole car appreciated the last two dad and are having a map reading semi argument but apart from that things are going ok p,human
1206,"as a sim subscriber, you are selected to receive a bonus get it delivered to your door, txt the word ok to no   to claim  p msg, exp  apr",spam
1207,i need you to be in my strong arms,human
1208,also maaaan are you missing out,human
1209,his bday real is in april,human
1210,guessin you ain't gonna be here before  ,human
1211,ok then i will come to ur home after half an hour,human
1212,"yo, the game almost over want to go to walmart soon",human
1213,"yeah, probably but not sure ilol let u know, but personally i wuldnt bother, then again if ur goin to then i mite as well",human
1214,i'll text now all creepy like so he won't think that we forgot,human
1215,"that would be good û_ i'll phone you tomo lunchtime, shall i, to organise something",human
1216,you have   new voicemail please call  ,spam
1217,"damn, can you make it tonight or do you want to just wait til tomorrow",human
1218,k k i'm also fine when will you complete the course,human
1219,"true it is passable and if you get a high score and apply for phd, you get  years of salary so it makes life easier",human
1220,no   nokia tone   ur mob every week just txt nok to    st tone free so get txtin now and tell ur friends  p tone   reply hl  info,spam
1221,prakesh is there know,human
1222,teach me apps da when you come to college,human
1223,rofl betta invest in some anti aging products,human
1224,you are a winner u have been specially selected   receive å£  cash or a   holiday flights inc speak to a live operator   claim  ,spam
1225,"sir, you will receive the account no another  hr time sorry for the delay",human
1226,reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations www phb  com ph  p,spam
1227,so ì_'ll be submitting da project tmr rite,human
1228,free entry into our å£  weekly comp just send the word enter to   now   t c www textcomp com cust care  ,spam
1229,jus ans me lar u'll noe later,human
1230,i want to send something that can sell fast lt gt k is not easy money,human
1231,have got few things to do may be in pub later,human
1232, 's finish meeting call me,human
1233,lol ok i'll snatch her purse too,human
1234,"\hello drivby  quit edrunk sorry iff pthis makes no senrd dnot no how dancce   drum n basq ihave fun  nhite x ros xxxxxxx\""""",human
1235,your opinion about me   over   jada   kusruthi   lovable   silent   spl character   not matured   stylish   simple pls reply,human
1236,how much are we getting,human
1237,is ur paper in e morn or aft tmr,human
1238,"dear relieved of westonzoyland, all going to plan this end too",human
1239,hope you are having a great new semester do wish you the very best you are made for greatness,human
1240,oh yes i can speak txt   u no hmm did u get email,human
1241,"i want to show you the world, princess how about europe",human
1242,nobody can decide where to eat and dad wants chinese,human
1243,no shoot me i'm in the docs waiting room,human
1244,now i'm going out   dinner soon,human
1245,hello which the site to download songs its urgent pls,human
1246,"i do know what u mean, is the king of not havin credit i'm goin bed now night night sweet only more sleep",human
1247,horrible gal me in sch doing some stuff how come u got mc,human
1248,"hi hun im not comin  nite tell every  im sorry   me, hope u ava goodtime oli rang melnite ifink it mite b sorted,but il explain everythin on mon l rs x",human
1249,"i call you later, don't have network if urgnt, sms me",human
1250,ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear,human
1251,please call   immediately as there is an urgent message waiting for you,spam
1252,yeah like if it goes like it did with my friends imma flip my shit in like half an hour,human
1253,mum say we wan to go then go then she can shun bian watch da glass exhibition,human
1254,what your plan for pongal,human
1255,just wait till end of march when el nino gets himself oh,human
1256,"not yet chikku going to room nw, i'm in bus",human
1257,am also doing in cbe only but have to pay,human
1258,honey boo i'm missing u,human
1259,"we have sent jd for customer service cum accounts executive to ur mail id, for details contact us",human
1260,"yo, i'm at my parents' gettin cash good news we picked up a downstem",human
1261,"thank you so much when we skyped wit kz and sura, we didnt get the pleasure of your company hope you are good we've given you ultimatum oh we are countin down to aburo enjoy",human
1262,"hungry gay guys feeling hungry and up   it, now call   just  p min to stop texts call    p min",spam
1263,ok no wahala just remember that a friend in need,human
1264,i will see in half an hour,human
1265,"im in inperialmusic listening the weirdest track ever byåóleafcutter johnåó sounds like insects being molested someone plumbing,remixed by evil men on acid",human
1266,\hey sorry i didntgive ya a a bellearlier hunny,human
1267,seriously tell her those exact words right now,human
1268,can u get   phone now i wanna chat   set up meet call me now on   u can cum here  moro luv jane xx callså£  minmoremobsemspobox po wa,spam
1269,"tee hee off to lecture, cheery bye bye",human
1270,"sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u",human
1271,if you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,human
1272,ok,human
1273,network operator the service is free for t c's visit   biz,spam
1274,let me know how to contact you i've you settled in a room lets know you are ok,human
